flight_id,received_at,rssi,SYS,SRC,SEQ,St,ALT,Max,G,Pg,T,Batt,MET,Vel,Gmx,Gmn,Wmx,Gyx,Gyy,Gyz,Mgx,Mgy,Mgz
2026-08-25-F1,2026-08-25T21:03:58.475Z,-85,7,1,387,1,507,507,1.0,2.8,29.7,4.15,4,144.3,1.0,0.9,297.8,,,,,,
2026-08-25-F1,2026-08-25T21:03:58.578Z,-82,7,1,388,1,520,520,1.0,2.8,29.7,4.14,4,139.9,1.0,0.9,293.3,,,,,,
2026-08-25-F1,2026-08-25T21:03:58.681Z,-81,7,1,389,1,533,533,1.0,2.8,29.7,4.14,4,135.1,1.0,1.0,282.3,,,,,,
2026-08-25-F1,2026-08-25T21:03:58.784Z,-82,7,1,390,1,545,545,1.0,2.8,29.7,4.14,4,131.1,1.0,1.0,270.0,,,,,,
2026-08-25-F1,2026-08-25T21:03:58.887Z,-84,7,1,391,1,557,557,0.9,2.8,29.7,4.14,4,127.0,1.0,0.9,264.4,,,,,,
2026-08-25-F1,2026-08-25T21:03:58.990Z,-87,7,1,392,1,569,569,0.9,2.8,29.7,4.15,4,122.8,0.9,0.9,254.3,,,,,,
2026-08-25-F1,2026-08-25T21:03:59.073Z,-93,7,1,393,1,580,580,0.9,2.8,29.7,4.15,4,118.9,0.9,0.9,251.9,,,,,,
2026-08-25-F1,2026-08-25T21:03:59.176Z,-98,7,1,394,1,591,591,0.9,2.8,29.7,4.14,4,116.1,0.9,0.9,244.8,,,,,,
2026-08-25-F1,2026-08-25T21:03:59.279Z,-93,7,1,395,1,601,601,0.9,2.8,29.7,4.15,5,112.1,1.0,0.9,234.6,,,,,,
2026-08-25-F1,2026-08-25T21:03:59.382Z,-90,7,1,396,1,612,612,0.9,2.8,29.7,4.14,5,107.8,0.9,0.8,227.0,,,,,,
2026-08-25-F1,2026-08-25T21:03:59.485Z,-91,7,1,397,1,621,621,0.8,2.8,29.7,4.15,5,104.1,0.9,0.8,219.7,,,,,,
2026-08-25-F1,2026-08-25T21:03:59.588Z,-91,7,1,398,1,631,631,0.9,2.8,29.7,4.14,5,101.8,0.9,0.8,212.6,,,,,,
2026-08-25-F1,2026-08-25T21:03:59.691Z,-91,7,1,399,1,641,641,0.8,2.8,29.7,4.15,5,99.7,0.9,0.8,206.0,,,,,,
2026-08-25-F1,2026-08-25T21:03:59.794Z,-91,7,1,400,1,650,650,0.8,2.8,29.7,4.14,5,95.6,0.9,0.8,200.2,,,,,,
2026-08-25-F1,2026-08-25T21:03:59.897Z,-87,7,1,401,1,658,658,0.8,2.8,29.7,4.14,5,92.2,0.8,0.8,193.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:00.000Z,-86,7,1,402,1,667,667,0.8,2.8,29.7,4.15,5,89.1,0.8,0.8,186.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:00.103Z,-84,7,1,403,1,674,674,0.8,2.8,29.7,4.15,5,84.9,0.8,0.8,176.2,,,,,,
2026-08-25-F1,2026-08-25T21:04:00.185Z,-82,7,1,404,1,682,682,0.8,2.8,29.7,4.14,5,82.3,0.8,0.8,169.1,,,,,,
2026-08-25-F1,2026-08-25T21:04:00.288Z,-81,7,1,405,1,689,689,0.8,2.8,29.7,4.14,6,78.6,0.8,0.8,163.4,,,,,,
2026-08-25-F1,2026-08-25T21:04:00.391Z,-81,7,1,406,1,696,696,0.8,2.8,29.7,4.15,6,73.9,0.8,0.7,156.6,,,,,,
2026-08-25-F1,2026-08-25T21:04:00.494Z,-81,7,1,407,1,703,703,0.8,2.8,29.7,4.15,6,71.4,0.8,0.7,151.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:00.596Z,-80,7,1,408,1,709,709,0.8,2.8,29.7,4.15,6,68.4,0.8,0.8,145.2,,,,,,
2026-08-25-F1,2026-08-25T21:04:00.699Z,-81,7,1,409,1,715,715,0.8,2.8,29.7,4.14,6,65.4,0.8,0.7,139.6,,,,,,
2026-08-25-F1,2026-08-25T21:04:00.801Z,-82,7,1,410,1,720,720,0.8,2.8,29.7,4.14,6,61.4,0.8,0.8,132.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:00.904Z,-81,7,1,411,1,726,726,0.7,2.8,29.7,4.14,6,58.5,0.7,0.7,126.2,,,,,,
2026-08-25-F1,2026-08-25T21:04:01.007Z,-83,7,1,412,1,731,731,0.8,2.8,29.7,4.14,6,55.3,0.8,0.8,121.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:01.110Z,-83,7,1,413,1,735,735,0.8,2.8,29.7,4.15,6,51.1,0.8,0.7,116.2,,,,,,
2026-08-25-F1,2026-08-25T21:04:01.193Z,-84,7,1,414,1,739,739,0.8,2.8,29.7,4.14,6,48.9,0.8,0.7,110.4,,,,,,
2026-08-25-F1,2026-08-25T21:04:01.296Z,-83,7,1,415,1,744,744,0.8,2.8,29.7,4.15,7,47.0,0.8,0.8,105.4,,,,,,
2026-08-25-F1,2026-08-25T21:04:01.398Z,-83,7,1,416,1,747,747,0.8,2.8,29.7,4.15,7,42.6,0.8,0.8,102.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:01.501Z,-83,7,1,417,1,751,751,0.8,2.8,29.7,4.15,7,40.0,0.8,0.8,96.1,,,,,,
2026-08-25-F1,2026-08-25T21:04:01.604Z,-83,7,1,418,1,754,754,0.7,2.8,29.7,4.15,7,38.4,0.8,0.7,91.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:01.707Z,-82,7,1,419,1,757,757,0.8,2.8,29.7,4.14,7,34.3,0.9,0.8,88.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:01.810Z,-81,7,1,420,1,760,760,0.8,2.8,29.7,4.14,7,31.9,0.8,0.8,84.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:01.912Z,-81,7,1,421,1,762,762,0.8,2.8,29.7,4.14,7,28.9,0.8,0.8,82.6,,,,,,
2026-08-25-F1,2026-08-25T21:04:02.015Z,-80,7,1,422,1,765,765,0.8,2.8,29.7,4.14,7,27.3,0.8,0.8,80.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:02.098Z,-80,7,1,423,1,766,766,0.8,2.8,29.7,4.14,7,23.4,0.8,0.7,80.2,,,,,,
2026-08-25-F1,2026-08-25T21:04:02.201Z,-78,7,1,424,1,768,768,0.8,2.8,29.7,4.14,7,21.4,0.8,0.8,82.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:02.303Z,-78,7,1,425,1,769,769,0.8,2.8,29.7,4.14,8,17.4,0.8,0.7,83.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:02.406Z,-77,7,1,426,1,771,771,0.8,2.8,29.7,4.15,8,15.7,0.9,0.8,86.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:02.509Z,-77,7,1,427,1,771,771,0.9,2.8,29.7,4.14,8,11.6,0.9,0.8,89.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:02.611Z,-76,7,1,428,1,772,772,0.8,2.8,29.7,4.14,8,9.3,0.8,0.8,90.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:02.716Z,-76,7,1,429,1,772,772,0.8,2.8,29.7,4.15,8,7.9,0.8,0.8,92.1,,,,,,
2026-08-25-F1,2026-08-25T21:04:02.818Z,-76,7,1,430,1,772,772,0.8,2.8,29.7,4.14,8,4.7,0.8,0.8,90.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:02.921Z,-76,7,1,431,1,771,772,0.8,2.8,29.7,4.15,8,0.6,0.8,0.8,88.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:03.003Z,-76,7,1,432,1,771,772,0.8,2.8,29.7,4.14,8,-2.5,0.8,0.8,87.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:03.106Z,-76,7,1,433,1,769,772,0.8,2.8,29.7,4.15,8,-5.9,0.8,0.8,86.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:03.208Z,-76,7,1,434,1,768,772,0.8,2.8,29.7,4.14,8,-9.7,0.8,0.8,84.4,,,,,,
2026-08-25-F1,2026-08-25T21:04:03.311Z,-77,7,1,435,1,766,772,0.7,2.8,29.7,4.15,9,-12.1,0.7,0.7,82.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:03.414Z,-78,7,1,436,1,764,772,0.8,2.8,29.7,4.14,9,-15.0,0.8,0.8,80.4,,,,,,
2026-08-25-F1,2026-08-25T21:04:03.516Z,-78,7,1,437,1,762,772,0.7,2.8,29.7,4.15,9,-17.9,0.8,0.7,78.4,,,,,,
2026-08-25-F1,2026-08-25T21:04:03.619Z,-78,7,1,438,1,659,772,10.4,10.4,29.7,4.14,9,-338.6,10.4,0.8,105.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:03.722Z,-76,7,1,439,1,710,772,0.7,10.4,29.7,4.14,9,-41.5,0.7,0.7,133.8,,,,,,
2026-08-25-F1,2026-08-25T21:04:03.824Z,-78,7,1,440,1,729,772,1.4,10.4,29.7,4.14,9,39.6,1.5,1.4,159.1,,,,,,
2026-08-25-F1,2026-08-25T21:04:03.927Z,-80,7,1,441,2,738,772,1.8,10.4,29.8,4.14,9,57.4,1.8,1.2,269.8,,,,,,
2026-08-25-F1,2026-08-25T21:04:04.030Z,-85,7,1,442,2,741,772,3.1,10.4,29.8,4.14,9,47.9,3.1,2.4,316.2,,,,,,
2026-08-25-F1,2026-08-25T21:04:04.113Z,-84,7,1,443,2,742,772,2.6,10.4,29.8,4.14,9,34.4,3.1,2.6,210.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:04.215Z,-81,7,1,444,2,741,772,1.9,10.4,29.8,4.15,9,17.8,2.0,1.9,180.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:04.318Z,-81,7,1,445,2,739,772,1.7,10.4,29.8,4.14,10,5.6,1.7,1.6,158.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:04.420Z,-82,7,1,446,2,737,772,1.4,10.4,29.8,4.14,10,-5.1,1.8,1.4,192.6,,,,,,
2026-08-25-F1,2026-08-25T21:04:04.523Z,-88,7,1,447,2,734,772,1.5,10.4,29.7,4.15,10,-13.5,1.5,1.5,246.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:04.626Z,-95,7,1,448,2,732,772,1.9,10.4,29.7,4.14,10,-16.7,1.9,1.7,263.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:04.728Z,-100,7,1,449,2,730,772,1.2,10.4,29.7,4.14,10,-17.7,1.7,1.2,285.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:04.831Z,-100,7,1,450,2,728,772,2.1,10.4,29.7,4.15,10,-18.0,2.1,1.6,290.1,,,,,,
2026-08-25-F1,2026-08-25T21:04:04.933Z,-95,7,1,451,2,726,772,2.0,10.4,29.7,4.15,10,-18.8,2.1,2.0,318.6,,,,,,
2026-08-25-F1,2026-08-25T21:04:05.036Z,-94,7,1,452,2,724,772,1.5,10.4,29.7,4.14,10,-19.3,1.7,1.5,314.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:05.119Z,-96,7,1,453,2,721,772,1.3,10.4,29.7,4.14,10,-22.0,1.4,1.3,227.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:05.221Z,-95,7,1,454,2,719,772,0.9,10.4,29.7,4.15,10,-23.9,1.1,0.9,139.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:05.324Z,-88,7,1,455,2,716,772,0.9,10.4,29.7,4.14,11,-23.6,0.9,0.9,113.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:05.426Z,-85,7,1,456,2,713,772,1.0,10.4,29.7,4.14,11,-25.4,1.0,1.0,105.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:05.529Z,-82,7,1,457,2,711,772,1.3,10.4,29.7,4.15,11,-25.1,1.3,1.2,111.5,,,,,,
2026-08-25-F1,2026-08-25T21:04:05.631Z,-82,7,1,458,2,709,772,1.4,10.4,29.7,4.14,11,-23.2,1.4,1.4,104.2,,,,,,
